,Date,Temp
0,1910-01-01,-0.51
1,1911-01-01,-0.68
2,1912-01-01,-0.2
3,1913-01-01,-0.86
4,1914-01-01,0.12
5,1915-01-01,0.08
6,1916-01-01,-0.57
7,1917-01-01,-1.25
8,1918-01-01,-0.54
9,1919-01-01,-0.15
10,1920-01-01,-0.54
11,1921-01-01,-0.23
12,1922-01-01,-0.47
13,1923-01-01,-0.38
14,1924-01-01,-0.7
15,1925-01-01,-0.77
16,1926-01-01,-0.18
17,1927-01-01,-0.51
18,1928-01-01,0.15
19,1929-01-01,-0.87
20,1930-01-01,-0.25
21,1931-01-01,-0.59
22,1932-01-01,-0.42
23,1933-01-01,-0.46
24,1934-01-01,-0.37
25,1935-01-01,-0.49
26,1936-01-01,-0.14
27,1937-01-01,-0.36
28,1938-01-01,0.18
29,1939-01-01,-0.62
30,1940-01-01,-0.24
31,1941-01-01,-0.56
32,1942-01-01,0.07
33,1943-01-01,-0.62
34,1944-01-01,-0.39
35,1945-01-01,-0.29
36,1946-01-01,-0.72
37,1947-01-01,-0.26
38,1948-01-01,-0.46
39,1949-01-01,-0.94
40,1950-01-01,-0.6
41,1951-01-01,-0.42
42,1952-01-01,-0.43
43,1953-01-01,-0.45
44,1954-01-01,-0.36
45,1955-01-01,-0.33
46,1956-01-01,-0.92
47,1957-01-01,0.04
48,1958-01-01,0.13
49,1959-01-01,0.23
50,1960-01-01,-0.66
51,1961-01-01,0.05
52,1962-01-01,-0.11
53,1963-01-01,-0.13
54,1964-01-01,-0.22
55,1965-01-01,0.25
56,1966-01-01,-0.5
57,1967-01-01,-0.22
58,1968-01-01,-0.38
59,1969-01-01,-0.02
60,1970-01-01,-0.1
61,1971-01-01,-0.22
62,1972-01-01,0.15
63,1973-01-01,0.53
64,1974-01-01,-0.7
65,1975-01-01,-0.22
66,1976-01-01,-0.75
67,1977-01-01,-0.04
68,1978-01-01,-0.3
69,1979-01-01,0.37
70,1980-01-01,0.73
71,1981-01-01,0.27
72,1982-01-01,-0.03
73,1983-01-01,0.33
74,1984-01-01,-0.39
75,1985-01-01,0.21
76,1986-01-01,0.21
77,1987-01-01,0.17
78,1988-01-01,0.73
79,1989-01-01,-0.03
80,1990-01-01,0.47
81,1991-01-01,0.59
82,1992-01-01,0.12
83,1993-01-01,0.3
84,1994-01-01,0.18
85,1995-01-01,0.16
86,1996-01-01,0.59
87,1997-01-01,0.3
88,1998-01-01,0.96
89,1999-01-01,0.31
90,2000-01-01,-0.04
91,2001-01-01,0.04
92,2002-01-01,0.71
93,2003-01-01,0.69
94,2004-01-01,0.53
95,2005-01-01,1.15
96,2006-01-01,0.5
97,2007-01-01,0.75
98,2008-01-01,0.45
99,2009-01-01,0.92
100,2010-01-01,0.33
101,2011-01-01,-0.0
102,2012-01-01,0.24
103,2013-01-01,1.33
104,2014-01-01,1.04
105,2015-01-01,0.95
106,2016-01-01,1.0
107,2017-01-01,1.09
108,2018-01-01,1.14
109,2019-01-01,1.52
