,State,Pop,density
0,CA,39937489,256.3727
1,TX,29472295,112.8204
2,FL,21992985,410.1256
3,NY,19440469,412.5211
4,PA,12820878,286.5449
5,IL,12659682,228.0243
6,OH,11747694,287.5038
7,GA,10736059,186.6719
8,NC,10611862,218.2702
9,MI,10045029,177.6655
10,NJ,8936574,1215.1991
11,VA,8626207,218.4403
12,WA,7797095,117.3272
13,AZ,7378494,64.9550
14,MA,6976597,894.4355
15,TN,6897576,167.2748
16,IN,6745354,188.2810
17,MO,6169270,89.7453
18,MD,6083116,626.6731
19,WI,5851754,108.0497
20,CO,5845526,56.4011
21,MN,5700671,71.5922
22,SC,5210095,173.3174
23,AL,4908621,96.9221
24,LA,4645184,107.5175
25,KY,4499692,113.9566
26,OR,4301089,44.8086
27,OK,3954821,57.6547
28,CT,3563077,735.8689
29,UT,3282115,39.9430
30,IA,3179849,56.9284
31,NV,3139658,28.5993
32,AR,3038999,58.4030
33,PR,3032165,876.6016
34,MS,2989260,63.7056
35,KS,2910357,35.5968
36,NM,2096640,17.2850
37,NE,1952570,25.4161
38,ID,1826156,22.0969
39,WV,1778070,73.9691
40,HI,1412687,219.9419
41,NH,1371246,153.1605
42,ME,1345790,43.6336
43,MT,1086759,7.4668
44,RI,1056161,1021.4323
45,DE,982895,504.3073
46,SD,903027,11.9116
47,ND,761723,11.0393
48,AK,734002,1.2863
49,DC,720687,11814.5410
50,VT,628061,68.1416
51,WY,567025,5.8400
